DateTime,FlPhase
7527,5
275,0
2463,5
3285,5
4850,5
5014,5
8893,5
1385,5
14188,5
7234,5
3381,5
5341,5
5631,5
2027,5
18143,0
7060,5
9121,5
10242,5
14943,0
18060,0
12265,5
16826,5
12421,5
29,0
7942,5
15138,0
16757,2
344,0
3539,3
9677,2
16743,2
15571,2
4365,0
9581,0
3791,0
15478,0
14419,0
15751,3
16077,2
17755,3
15136,0
14877,0
9605,0
4046,0
3582,3
15409,3
9545,0
14232,3
14829,0
17989,0
1173,3
15057,0
17534,3
1427,3
1765,3
4494,2
1563,2
1559,2
1467,3
15418,3
1829,3
15405,3
17615,3
955,2
16797,2
14266,3
1482,3
17544,3
9236,3
1831,3
15874,2
4469,1
15911,2
576,2
4525,2
15516,2
1929,2
1274,2
972,2
600,2
4560,2
850,4
1206,4
15453,4
9651,1
9273,4
538,1
17784,4
1877,4
16665,4
1548,1
1886,4
16324,4
863,4
16672,4
15753,4
877,4
1901,1
16669,4
16067,1
883,1
17780,4
16667,4
3623,4
16329,4
16066,1
870,4
9646,1
1509,4
1894,1
1225,1
15174,1
9645,1
1902,1
1892,1
9647,1
9644,1
16370,1
1224,1
1903,1
