DateTime,AirportDistance,AltAGL,AltMSL Lag Diff,amp1,amp2,AOASimple,CAS,Coordination Index,E1 CHT Divergence,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT Divergence,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,E1 FFlow,E1 OilP,E1 OilT,E1 RPM,FQtyL,FQtyR,GndSpd,HAL,HDG,HPLfd,IAS,LatAc,LOC-I Index,NAV1,NAV2,NormAc,OAT,Pitch,Roll,RunwayDistance,Stall Index,TAS,Total Fuel,TRK,volt1,volt2,VPLwas,VSpd,VSpd Calculated,VSpdG
6631,10000,3703,0.9,0.1,0,1.56442783,104.21,22.27343148,43.71,344.01,342.62,352.55,386.33,5.79,1369.94,1370.27,1366.09,1364.48,10.3,64.02,190.09,2581.7,19.28,20.25,109.05,3704,311,13,104.21,0.02,0.023230117,110.3,110.3,0,17,0.75,-0.49,500,0.104295189,117,39.53,309.6,28.2,28,15,-63.89,-150,-39.4
9564,2784.764396,0,0.1,-0.1,0,2.46,20.667,8.289294785,86.87,269.02,313.46,254.27,341.14,213.38,1021.26,1124.28,910.9,1076.24,1.52,47.73,181.61,790.4,16.39,15.02,0,3704,10.3,11.5,0,0,0.013594443,110.3,110.3,0,33.8,2.46,0.59,500,0.164,0,31.41,11.3,28.1,27.9,14,15.58,0,0
11033,10000,4783,4.8,0,0,1.295557484,103.22,4.062962563,44.34,338.49,338.8,348.26,382.83,6.72,1344.63,1349.13,1342.41,1344.54,9.59,65.05,189.46,2545.4,14.61,12.75,114.59,3704,121,11,103.22,0,0.003509201,110.3,110.3,-0.04,15.8,1.46,0.83,500,0.086370499,117,27.36,126.1,28.2,28,14,0.19,30,23.6
16559,10000,678,-76.5,0.6,0,3.775586954,76.46,100,9.84,310.08,316.26,306.42,308.62,37.2,1176.07,1187.61,1159.1,1196.3,4.95,65.03,164.97,1653.2,16.76,19.28,90.13,1852,302,17.5,76.46,0.04,0.251705797,116.2,114.3,0,21.5,-1.56,-12.18,500,0.251705797,80,36.04,301.9,28.1,28.1,18,-558.36,-720,-527.6
14662,574.4341317,0,-0.1,0.9,0.2,2.938675446,20.667,2.107482664,43.5,285.73,322.83,304.11,329.23,78.52,1071.96,1101.37,1061.8,1140.32,2.08,59.32,155.8,1035.4,17.92,21.42,0,1852,36.5,15.5,0,0,0.004128805,116.2,114.3,0,23.5,3.76,-0.15,500,0.195911696,0,39.34,266.8,27.9,27.9,14,0.7,30,0
10352,10000,5466,52.4,0.1,0,4.05284646,85.05,24.60637174,40.82,370.01,372.48,371.53,410.83,11.11,1315.87,1323.71,1321.27,1326.98,11.74,61.46,204.77,2512.9,14.9,12.94,106.87,3704,122.9,11.5,85.05,-0.01,0.066483898,110.3,110.3,0,16.8,5.45,0.93,500,0.270189764,96,27.84,126.2,28.2,28.1,14,211.47,210,263.8
7035,10000,3794,1.2,0,0,1.123829652,98.95,20.51063486,45.32,352.03,353.69,362.58,397.35,10.8,1359.06,1357.59,1354.52,1348.26,10.21,63.13,194.84,2519.1,18.72,19.72,108.23,3704,314.3,11.5,98.95,0,0.015366973,110.3,110.3,-0.02,19.8,1.81,-1.46,500,0.074921977,111,38.44,308.9,28.2,28,14,57.31,120,-47.2
16549,10000,754,-48.4,0.6,0.1,2.522470476,74.77,9.55370804,10.56,314.45,321.51,310.95,312.75,31.64,1183.68,1198.02,1166.71,1198.35,4.91,64.58,164.33,1635.2,16.1,19.33,90.76,1852,305.8,16.5,74.77,0.01,0.016065964,116.2,114.3,0.04,21.5,-0.43,-0.68,500,0.168164698,78,35.43,305.2,28.1,28.1,17,-499.56,-390,-440.9
2502,10000,3158,-11.6,2,0,6.878188281,60.231,13.44008445,20.44,346.07,326.88,331.16,347.32,11.77,1266.76,1268.66,1274.22,1262.45,10.36,58.34,187.82,2221.6,13.21,14.16,58,1852,261.4,12.5,56.52,-0.02,0.061628954,109.2,110.1,0,23,7.16,5.12,500,0.458545885,61,27.37,258.3,28.1,28.1,16,14.2,30,114.2
5647,10000,5184,-7.6,0.5,0,0.927493959,104.45,19.09229322,44.31,346.12,346.24,352.86,390.43,5.88,1361,1362.56,1357.01,1356.68,10.3,64.18,191.69,2573.1,20.21,22.71,107.38,3704,308.5,16,104.45,0.03,0.011805324,110.1,109.4,0.07,17,1.09,-0.81,500,0.061832931,117,42.92,309.8,28.2,28,14,-16.82,30,-39.4
