DateTime,AirportDistance,AltAGL,AltMSL Lag Diff,amp1,amp2,AOASimple,CAS,Coordination Index,E1 CHT Divergence,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT Divergence,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,E1 FFlow,E1 OilP,E1 OilT,E1 RPM,FQtyL,FQtyR,GndSpd,HAL,HCDI,HDG,HPLfd,IAS,LatAc,LOC-I Index,NAV1,NAV2,NormAc,OAT,Pitch,Roll,RunwayDistance,Stall Index,TAS,Total Fuel,TRK,volt1,volt2,VPLwas,VSpd,VSpd Calculated,VSpdG,WptBrg,WptDst
0,573.1795699,0,0.3,1.5,0.3,2.68,20.667,1.545488103,38.21,266.19,297.8,283.65,304.4,89.74,1065.82,1098.19,1051.85,1141.59,1.9,59.58,155.14,1045.3,17.89,21.22,0,1852,-0.004,37.2,10.5,0,0,0.002761272,116.2,114.3,-0.01,23.5,2.68,-0.11,500,0.178666667,0,39.11,266.8,27.9,27.8,13,0.83,0,0,-77.2,23.3
1,573.1795699,0,0.2,1.4,0.2,2.72,20.667,1.685986825,38.28,266.34,298.04,283.83,304.62,92,1066.77,1098.98,1051.79,1143.79,1.92,59.52,155.14,1046.3,17.89,21.22,0,1852,-0.004,37.2,10.5,0,0,0.003057256,116.2,114.3,0.03,23.5,2.72,-0.12,500,0.181333333,0,39.11,266.8,27.9,27.9,13,-9.43,0,0,-77.2,23.3
2,573.1795699,0,0.4,1.4,0.2,1.888675446,20.667,1.96698411,38.33,266.55,298.25,284.02,304.88,91.24,1065.91,1100.7,1052.38,1143.62,1.9,59.49,155.13,1042.6,17.89,21.22,0,1852,-0.004,37.2,10.5,0,0,0.002476663,116.2,114.3,-0.01,23.5,2.71,-0.14,500,0.125911696,0,39.11,266.8,27.9,27.8,13,-0.03,30,0,-77.2,23.3
3,573.1795699,0,0.5,1.4,0.2,1.898675446,20.667,1.264490523,38.41,266.71,298.46,284.23,305.12,88.7,1065.32,1100.24,1054.29,1142.99,1.94,59.56,155.13,1039.8,17.89,21.22,0,1852,-0.004,37.2,10.5,0,0.01,0.001600571,116.2,114.3,0,23.5,2.72,-0.09,500,0.126578363,0,39.11,266.8,27.9,27.8,13,14.83,30,0,-77.2,23.3
4,572.6116528,0,0.2,1.4,0.2,2.7,20.667,1.685986825,38.47,266.87,298.69,284.38,305.34,86.19,1064.21,1098.64,1055.19,1141.38,1.94,59.51,155.13,1038.9,17.89,21.22,0,1852,-0.004,37.2,10.5,0,0.01,0.003034776,116.2,114.3,-0.01,23.5,2.7,-0.12,500,0.18,0,39.11,266.8,27.9,27.8,12,13.62,0,0,-77.2,23.3
5,572.6116528,0,0.1,1.5,0.2,2.77,20.667,1.96698411,38.5,267.07,298.89,284.58,305.57,83.89,1062.56,1096.84,1054.83,1138.72,1.93,59.41,155.12,1036.2,17.94,21.22,0,1852,-0.004,37.2,10.5,0,0,0.003632364,116.2,114.3,0.03,23.5,2.77,-0.14,500,0.184666667,0,39.16,266.8,27.9,27.9,13,15.89,0,0,-77.2,23.3
6,572.6116528,0,0.5,1.4,0.2,2.76,20.667,3.513592469,38.58,267.24,299.12,284.75,305.82,82.97,1062.14,1096.36,1054.02,1136.99,1.95,59.5,155.12,1039,17.92,21.22,0,1852,-0.004,37.1,10.5,0,0,0.00646501,116.2,114.3,0.01,23.5,2.76,-0.14,500,0.184,0,39.14,266.8,27.9,27.9,13,8.88,0,0,-77.2,23.3
7,572.6116528,0,0.8,1.4,0.2,2.69,20.667,2.951597693,38.63,267.4,299.3,284.92,306.03,84.1,1062.41,1096.31,1052.3,1136.4,1.93,59.43,155.12,1038.8,17.94,21.22,0,1852,-0.004,37.2,10.5,0,0.01,0.005293199,116.2,114.3,-0.02,23.5,2.69,-0.1,500,0.179333333,0,39.16,266.8,27.9,27.8,13,13.68,0,0,-77.2,23.3
8,573.1795699,0,0.2,1.4,0.2,2.74,20.667,3.513592469,38.67,267.58,299.51,285.13,306.25,87.63,1063.51,1095.07,1050.88,1138.51,1.95,59.44,155.11,1033.9,17.94,21.22,0,1852,-0.004,37.1,10.5,0,0,0.006418162,116.2,114.3,0.04,23.5,2.74,-0.14,500,0.182666667,0,39.16,266.8,27.9,27.8,13,2.03,0,0,-77.2,23.3
9,573.1795699,0,-0.3,1.4,0.2,2.71,20.667,2.951597693,38.78,267.73,299.71,285.27,306.51,88.46,1063.94,1094.19,1050.59,1139.05,1.91,59.44,155.11,1039.1,17.92,21.22,0,1852,-0.004,37.2,10.5,0,0,0.005332553,116.2,114.3,0,23.5,2.71,-0.1,500,0.180666667,0,39.14,266.8,27.9,27.8,12,-6.64,0,0,-77.2,23.3
